Keyword,Attribute,Actual Attribute,Pros,Cons
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
games,Glitch,Glitch,Excellent for gaming,Not good for gaming
sound,Volume,Volume,Good sound quality,Poor sound quality
touch,Sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
Apps,Chocked,Chocked,Apps run smoothly,Apps don't run smoothly and hangs
internal,Chocked,Chocked,,
internal,memory,memory,memory,memory
memory ,Chocked,Chocked,Chocked,Chocked
snapdeal,Doorstep,Delivery,Quick Delivery,Delayed Delivery
fast,Processor,Processor,Processor,Processor
music,Performance,Performance,Music sound quality is awesome,Music sound quality is poor
picture,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
UI,Friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
Game,Smoothly,Smooth,Excellent for gaming,Not good for gaming
sound,Clarity,Clarity,Good sound quality,Poor sound quality
picture,Grainy,Grainy,Camera and picture quality is good,Camera and picture quality is poor
Display,Decent,Decent,Suberb display clarity,Display quality not good
browsing,Speed,Fast,Internet speed is good,Browsing is slow
browsing,Speed,Fast,Internet speed is good,Browsing is slow
Screen,Colours,,Screen colours and brighteness are good,Screen colours and brightness are dull
Camera,Casual,Casual,Camera and picture quality is good,Camera and picture quality is poor
expandable,32GB,32GB,32GB,32GB
Apps,Pre-installed,Pre-installed,Apps run smoothly,Apps don't run smoothly and hangs
Display,Jumbo,Jumbo,Suberb display clarity,Display quality not good
Design,Sleek,Sleek,Sleek and slim,Heavy and big
Design,Lighter,Lighter,Sleek and slim,Heavy and big
snapdragon,Krait,Krait,Krait,Krait
snapdragon,Cortex A-5,Cortex A-5,Cortex A-5,Cortex A-5
expandable,32GB,32GB,32GB,32GB
memory ,32GB,32GB,32GB,32GB
Game,Smooth ,Smooth,Excellent for gaming,Not good for gaming
memory ,Card slot,Card,Card,Card
image,HD,HD,HDR Mode is excellent,HDR Mode is not good
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,Unlocks,,,
Processor,Speed,Fast,Fast,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
smooth ,Display,Display,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
interface,Fluid,Smooth,UI is simple and smooth,UI is complicated and not smooth
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
features,2G,2G,2G,2G
features,3G,3G,3G,3G
features,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi
internet,2G,2G,Speed in 2G browsing is good,Speed in 2G browsing is not good
internet,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
internet,Wi-Fi,Wi-Fi,Speed in Wi-Fi browsing is good,Speed in Wi-Fi browsing is not good
browsing,Hours,Hours,No hanging while browsing,Hangs while browsing
touch,Pad,,Nice Keypad,Keypad is not good
hanging,RAM,RAM,No lagging problem,Phone lags
Screen,Gorilla glass,,Gorilla glass,Gorilla glass
Processor,Multi tasking,Multi tasking,Multi tasking,Multi tasking
Processor,Apps,Apps,Apps,Apps
Camera,5MP,5MP,,
Camera,LED,LED,Good lens quality,Poor lens quality
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
stylish,Handy,Handy,Stylish,Not so stylish
internal,Product Documentation,Product Documentation,,
internal,memory,memory,memory,memory
memory ,Product Documentation,Product Documentation,Product Documentation,Product Documentation
Display,Colour balance,Colour,Cool display colours,Display colours don't look good
sound,Tweaking,,Good sound quality,Poor sound quality
Camera,5MP,5MP,,
smooth ,Performance,Performance,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
features,Superb,Superb,,
touch,Sensitiity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
sound,High,,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
Display,Clarity,Clear,Suberb display clarity,Display quality not good
Display,Clarity,Clear,Suberb display clarity,Display quality not good
delivered,Packed,packaging,Nice packaging,poor packaging
Apps,SD Card,Move,Apps can be moved to external memory,Apps cant be moved to external memory
fast,Processor,Processor,Processor,Processor
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
sensor,Steady Shot technology,,Steady Shot technology,Steady Shot technology
Front ,Resolution,Resolution,Good front camera resolution,Front camera resoljution not good
Front ,camera,Front camera,Good front camera quality,No front camera
Front ,high,Front camera,Good front camera resolution,Front camera resoljution not good
durable,Design,Durable,Awesome looks and design,Design and looks not good
Camera,Heated,Heated,No Heating,Got Heated
video,Resolution,Resolution,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
videos,Resolution,Resolution,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
features,Speaker,Speaker,,
gaming,Lag,lags,No hanging while gaming,Hangs while playing games
lag,Experience,Experience,No lagging problem,Phone lags
Camera,Modes,Modes,Picture quality in different modes are awesome,Picture quality becomes bad in many modes
Design,Sleek,Sleek,Sleek and slim,Heavy and big
Camera,Vibrant,Vibrant,Camera and picture quality is good,Camera and picture quality is poor
body,Handling,Handling,Good body built quality,Body built not good
snapdeal,Specification,,Perfect product delivered,Defective product delivered
connectivity,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
features,Power key,Power key,,
touch,FWVGA,,,
storage,SD slot,,,
music,Enhancements,Enhancements,Good Enhancements,Poor Enhancements
Screen,Viewing angles,,Viewing angles,Viewing angles
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
music,Enhancements,Enhancements,Good Enhancements,Poor Enhancements
sound,Enhancements,Enhancement,Good sound quality,Poor sound quality
interface,Slow,Slow,UI is simple and smooth,UI is complicated and not smooth
clarity,Loudspeakers,Sound,,
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
sound,Low,Low,Good sound quality,Poor sound quality
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
fast,Krait,Krait,Krait,Krait
body,Plastic,Plastic,Plastic body but looks good,Plastic body looks poor
smooth ,Feel,Feel,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
interface,USB-OTG,USB-OTG,,
internal,Paltry,low,,Low internal memory space
internal,memory,memory,memory,memory
memory ,Paltry,Less,,Low memory space
viewing ,Terrible,Terrible,Good display viewing angles,Display Viewing angles is poor
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
Display,245ppi,245ppi,Suberb display clarity,Display quality not good
Design,Slim,Slim,Sleek and slim,Heavy and big
Camera,Precise,Precise,Camera and picture quality is good,Camera and picture quality is poor
lag,Performance,Performance,No lagging problem,Phone lags
fast,Sharing,Sharing,Sharing,Sharing
Camera,Low light,Low light,Low light performance is cool,Low light image quality is poor
headphone,Nice,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
performance,Net,Net,,
Screen,Response,Response,Touch is smooth and fast,Touch is not smooth
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
hardware,Lag,Lag,,
games,lags,lags,No hanging while gaming,Hangs while playing games
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
memory ,Micro SD,Micro SD,Micro SD,Micro SD
Camera,Light,Low light,Low light performance is cool,Low light image quality is poor
stylish,Unique,Unique,Stylish,Not so stylish
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
sound,Quality,Quality,Good sound quality,Poor sound quality
features,Screen Mirring,Screen Mirring,,
Size,Perfect,Perfect,Screen size is perfect,Screen size is not ok
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
memory ,Internal,Internal,Nice internal memory,Low internal memory space
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
internal,less,low,,Low internal memory space
internal,memory,memory,memory,memory
internal,less,low,,Low internal memory space
internal,memory,memory,memory,memory
sound,Clarity,Clarity,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
sound,Speakers,Speaker,Good sound quality,Poor sound quality
hangs,Playing,gaming,No lag issue while gaming,Phone lags while gaming
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
sound,System,,Good sound quality,Poor sound quality
Processor,Internet,Internet,Internet,Internet
responsive,Screen,Screen,Touch screen is highly sensitive and responsive,Touch is not sensitive 
sound,Quality,Quality,Good sound quality,Poor sound quality
music,Sound,Quality,Music sound quality is awesome,Music sound quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
online,Rates,,,
fast,CPU,CPU,CPU,CPU
memory ,Efficient,Efficient,Efficient,Efficient
features,Handy,Handy,,
budget,Price,Price,It's worth the price,It's not worth the price
Camera,HDR,HDR Mode,HDR Mode is excellent,HDR Mode is not good
UI,Friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
video,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
videos,720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
fast,Quality,Quality,,
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Display,Crisp,Clear,Suberb display clarity,Display quality not good
fast,Sharing,Sharing,Sharing,Sharing
body,Design,Design,Awesome looks and design,Design and looks not good
features,NFC,NFC,NFC,NFC
hangs,UI,UI,No lagging problem,Phone lags
Camera,Low light,Low light,Low light performance is cool,Low light image quality is poor
interface,Smooth,Smooth,UI is simple and smooth,UI is complicated and not smooth
sound,Quality,Quality,Good sound quality,Poor sound quality
Camera,HDR mode,HDR Mode,HDR Mode is excellent,HDR Mode is not good
sound,Quality,Quality,Good sound quality,Poor sound quality
Camera,1080o,1080o,,
video,1080p,1080p,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
music,App,App,Music app is cool,Music app is not good
online,Shipping,,,
Front ,Clarity,Front camera,Good front camera resolution,Front camera resoljution not good
Front ,camera,Front camera,Good front camera quality,No front camera
Front ,not,not,Good front camera quality,No front camera
stylish,Slim ,Slim ,Sleek and slim,Heavy and big
sound,Clear,Clarity,Good sound quality,Poor sound quality
Front ,not,not,Good front camera quality,No front camera
Front ,camera,Front camera,Good front camera quality,No front camera
Camera,Auto focus,Auto focus,Good Auto focus,Auto focus is poor
video,Recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video ,good,,Smooth and clear  video recording quality ,Video recording quality not good
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Screen,Quality,Quality,Quality,Quality
fast,Lags,Lags,,
delivered,Date,Date,Quick Delivery,Delayed Delivery
music,Rich,Rich,Music sound quality is awesome,Music sound quality is poor
speakers,Clear,Clear,Good sound quality,Poor sound quality
smooth ,Performance,Performance,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
performance,Battery,Battery,Battery,Battery
internet,Speed,Speed,Internet speed is good,Browsing is slow
video,Chats,,video chat has no problem,Hangs while video chatting
hanging,App,Apps,No hanging even after installing lot of apps,Phone is hanging after many app installation
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
sound,Dull,,Good sound quality,Poor sound quality
Game,Lags,lags,No hanging while gaming,Hangs while playing games
sound,Quality,Quality,Good sound quality,Poor sound quality
Processor,Lagging,Lagging,Lagging,Lagging
features,Design,Design,,
Screen,Display,Display,Good screen resolution and display,Screen resolution and display is poor
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
snapdeal,Refurbished,,Perfect product delivered,Defective product delivered
clarity,Faded,Faded,,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Bluetooth,v4,v4,Fast bluetooth sharing,Bluetooth range and sharing is slow
image,Stabilization,Stabilisation,Stabilisation,Stabilisation
memory ,Internal,Internal,Nice internal memory,Low internal memory space
picture,Dull,Dull,Camera and picture quality is good,Camera and picture quality is poor
video,Resolution,Resolution,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
Display,Stunning,Stunning,Suberb display clarity,Display quality not good
sound,Quality,Quality,Good sound quality,Poor sound quality
lagy,2 G,2 G,Phone never hangs during browsing,Phone hangs during browsing
video,Lagy,Lag ,No lag while watching videos,Lags during video watching
fast,CPU,CPU,CPU,CPU
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
expandable,Card,Card,,
software,Outdated,,,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
video,Heated,Heated,No heating issues,Phone gets heated while playing videos
videos,Heated,Heated,No heating issues,Phone gets heated while playing videos
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
build,Quality,Quality,Good body built quality,Body built not good
memory ,SD card,SD card,SD card,SD card
Screen,720p,,Good screen resolution and display,Screen resolution and display is poor
interface,Laggy,Laggy,Highly responsive and smooth UI,UI is not responsive and smooth
Screen,Size,Size,Screen size is perfect,Screen size is not ok
Price,Reasonable,Worthy,It's worth the price,It's not worth the price
sound,Low,Low,Good sound quality,Poor sound quality
sound,Headphone,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
cheap,Price,Price,It's worth the price,It's not worth the price
Display,HD,HD,Suberb display clarity,Display quality not good
music,Clear,Quality,Music sound quality is awesome,Music sound quality is poor
sound,Low,Low,Good sound quality,Poor sound quality
browsing,Experience,Fast,Internet speed is good,Browsing is slow
browsing,Fast,Fast,Internet speed is good,Browsing is slow
Audio,Louder,Quality,Good sound quality,Poor sound quality
Price,Higher,High,It's worth the price,It's not worth the price
Display,Viewing angles,Viewing angles,Good display viewing angles,Display Viewing angles is poor
UI,Smooth,Smooth,Highly responsive and smooth UI,UI is not responsive and smooth
connectivity,Smooth,Fast,Fast connectivity,slow connectivity
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,Pixel,Pixel,Pixel,Pixel
video,HDR mode,HDR mode,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video ,HDR mode,HDR mode,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
internet,Heated,Heated,No heating while browsing,Gets heated while browsing
Display,Bravia,Bravia,Suberb display clarity,Display quality not good
Display,Resolution,Resolution,Display resolution is great,Display resolution is not so good
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
software,Loaded,,,
interface,Sony,Sony,,
Looks,Premium,Premium,Awesome looks and design,Design and looks not good
fast,Processor,Processor,Processor,Processor
fast,Processor,Processor,Processor,Processor
connectivity,Fast,Fast,Internet speed is good,Browsing is slow
Screen,Flimsy,,Good screen resolution and display,Screen resolution and display is poor
Camera,Flash,Flash,Flash performance is good,Poor flash quality
Camera,Low,Low light,Low light performance is cool,Low light image quality is poor
picture,Qualities,Quality,Camera and picture quality is good,Camera and picture quality is poor
features,Stereo,Stereo,,
picture,Superior,Superior,Camera and picture quality is good,Camera and picture quality is poor
storage,Expandable,Expandabale,Expandabale,Expandabale
fast,Lags,Lags,,
burst,good,Burst mode,Burst mode,Burst mode
burst,mode,Burst mode,Burst mode,Burst mode
body,Design,Design,Awesome looks and design,Design and looks not good
fast,Snapdragon,Snapdragon,Snapdragon,Snapdragon
underwater,Price,,,
browsing,Fast,Fast,Internet speed is good,Browsing is slow
Delivery,Time,Time,Quick Delivery,Delayed Delivery
Display,Colour,Colour,Cool display colours,Display colours don't look good
music,Crisp,Quality,Music sound quality is awesome,Music sound quality is poor
video,Crisp,,Smooth and clear  video recording quality ,Video recording quality not good
videos,Crisp,,Smooth and clear  video recording quality ,Video recording quality not good
Camera,Shots,Shots,Camera and picture quality is good,Camera and picture quality is poor
Front ,not,not,Good front camera quality,No front camera
Front ,camera,Front camera,Good front camera quality,No front camera
smooth ,Transitions,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
smooth ,Charm,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Screen,Size,Size,Screen size is perfect,Screen size is not ok
internal,memory,memory,memory,memory
games,Smooth,Smooth,Excellent for gaming,Not good for gaming
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
applications,Smoothly,,Apps run smoothly,Apps don't run smoothly and hangs
fast,Smooth,Smooth,,
fast,Processor,Processor,Processor,Processor
built ,Ceramics,Ceramics,Good body built quality,Body built not good
built ,quality,Quality,Good body built quality,Body built not good
delivered,Time,Time,Quick Delivery,Delayed Delivery
snapdeal,Product,,Perfect product delivered,Defective product delivered
snapdeal,Commitment,,Quick Delivery,Delayed Delivery
Camera,Perfect,Perfect,Camera and picture quality is good,Camera and picture quality is poor
delivered,Time,Time,Quick Delivery,Delayed Delivery
sound,Quality,Quality,Good sound quality,Poor sound quality
sound,Earphones,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
snapdeal,Time,,Quick Delivery,Delayed Delivery
service,Courier,,Quick Delivery,Delayed Delivery
delivered,Time,Time,Quick Delivery,Delayed Delivery
memory ,Low,Less,,Low memory space
buttons,Nice,Nice,,
browsing,Screen,Screen,Internet speed is good,Browsing is slow
fast,Processor,Processor,Processor,Processor
video,Low light,,Video recording in low light is also good,video recording quality in now light is bad
videos,Low light,,Video recording in low light is also good,video recording quality in now light is bad
viewing ,Low,Terrible,Good display viewing angles,Display Viewing angles is poor
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
Display,Angles,Angles,Viewing angles,Viewing angles
Price,Afford,Worthy,It's worth the price,It's not worth the price
lags,Slow,Slow,No lagging problem,Phone lags
Camera,Lens,Lenses,Good lens quality,Poor lens quality
lens,Hazzy,Hazzy,Good lens quality,Poor lens quality
internal,only,low,,Low internal memory space
internal,memory,memory,memory,memory
sound,Quality,Quality,Good sound quality,Poor sound quality
internal,not,low,,Low internal memory space
internal,memory,memory,memory,memory
lags,Apps,Apps,No hanging even after installing lot of apps,Phone is hanging after many app installation
Screen,Cover,,Nice screen cover,Screen cover is not good
service,Center,centre,centre,centre
heavy,Power,Power,,
features,Flip,Flip,Flip,Flip
lens,Shoot,Shoot,Good lens quality,Poor lens quality
Camera,Hanged,Hanged,No Hanging while taking pictures,Phone hangs while taking pictures
Flash,Light,Quality,Flash performance is good,Poor flash quality
day,good,good,Day light picture quality is superb,day light picture quality is poor
day,light,day light,Day light picture quality is superb,day light picture quality is poor
image,day light,day light,Day light picture quality is superb,day light picture quality is poor
quad core,Performance,,,
internal,memory,memory,memory,memory
memory ,Games,Games,Games,Games
features,Vibrating,Vibrating,,
Game,Smooth,Smooth,Excellent for gaming,Not good for gaming
quad core,Processor,Processor,Processor,Processor
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
sound,Quality,Quality,Good sound quality,Poor sound quality
Touch ,sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Touch ,nice,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Bluetooth,connectivity,Fast,Fast bluetooth sharing,Bluetooth range and sharing is slow
touch,Functionality,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
memory ,IOS,IOS,IOS,IOS
gps,Accuracy,Accuracy,No issues in GPS,GPS problems
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
fast,reading,reading,,
games,Slow,c,Excellent for gaming,Not good for gaming
gps,Accuracy,Accuracy,No issues in GPS,GPS problems
service,supportable,,,
Camera,resolution,Resolution,Good image Resolution,Image Resolution  is poor
Screen,hot,,screen doesn't get heated,Screen gets heated quickly
sound,calling,calling,Good sound quality,Poor sound quality
Display,viewing angle,Viewing angles,Good display viewing angles,Display Viewing angles is poor
image,gaming,gaming,,
touch,pad,,Nice Keypad,Keypad is not good
cheap,Price,Price,It's worth the price,It's not worth the price
Camera,day light,day light,Day light picture quality is superb,day light picture quality is poor
operating ,Android,Android,Android,Android
operating ,system,system,system,system
quad core,Quadcore,,,
features,affordable,affordable,,
fast,Quad core,Quad core,,
quad core,Processor,Processor,Processor,Processor
features,Price,Price,,
sound,Quality,Quality,Good sound quality,Poor sound quality
performance,Quad core,Quad core,Quad core,Quad core
Display,clear,Clear,Suberb display clarity,Display quality not good
Audio,clear,Quality,Good sound quality,Poor sound quality
Processor,Adreno,Adreno,Adreno,Adreno
storage,2 gb,,,
touch,KitKat,,,
touch,Response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Screen,guardcover,,Nice screen cover,Screen cover is not good
performance,Speed,Speed,Speed,Speed
browsing,Speed,Fast,Internet speed is good,Browsing is slow
performance,Price,Price,,
hardware,performance,performance,performance,performance
software,performance,performance,performance,performance
fast,delivery,Delivery,Delivery,Delivery
headphone,cheap,cheap,Earphone Sound quality is superb,Earphone sound quality is poor
touch,responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Camera,day,day light,Day light picture quality is superb,day light picture quality is poor
Front ,clarity,Front camera,Good front camera resolution,Front camera resoljution not good
Front ,camera,Front camera,Good front camera quality,No front camera
Front ,good,Front camera,Good front camera quality,Poor front camera quality
smooth ,user friendly,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
UI,user friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
Fingerprint ,sensor,sensor,Fingerprint sensor works smoothly,Fingerprint sensor is not smooth
Fingerprint ,impressive,impressive,Fingerprint sensor works smoothly,Fingerprint sensor is not smooth
Display,crisp,Clear,Suberb display clarity,Display quality not good
touch,Quality,Quality,Touch screen is highly sensitive and responsive,Touch is not sensitive 
service,delivering,Delivery,Delivery,Delivery
Delivery,packaging,packaging,Nice packaging,poor packaging
snapdeal,delivery,Delivery,Quick Delivery,Delayed Delivery
Screen,crisp,crisp,crisp,crisp
image,stabilisation,Stabilisation,Stabilisation,Stabilisation
software,iPhone,,,
sound,calrity,Clarity,Good sound quality,Poor sound quality
store,loads,,Loads of app in app store,Limited apps in app store
fast,email,email,,
Screen,small,,Screen size is perfect,Screen size is small
features,price,price,,
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
image,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
operating ,plus,plus,,
operating ,system,system,system,system
lags,camera,camera,No lag while clicking pictures,Lags while using camera
Camera,autofocus,Auto focus,Good Auto focus,Auto focus is poor
snapdeal,delivery,Delivery,Quick Delivery,Delayed Delivery
service,Blackberry,Blackberry,Blackberry,Blackberry
lags,applications,applications,No hanging even after installing lot of apps,Phone is hanging after many app installation
operating ,allows,allows,,
operating ,system,system,system,system
body,build,Quality,Good body built quality,Body built not good
build,Quality,Quality,Good body built quality,Body built not good
connectivity,Wifi,Wi-Fi,Speed in Wi-Fi browsing is good,Speed in Wi-Fi browsing is not good
service,Blackberry,Blackberry,Blackberry,Blackberry
video,formats,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
internet,video,video,No issues while streaming videos through internet,Video streaming via internet is slow
browsing,typing,typing,No issues in browsing and internet connectivity,Browsing and connectivity problems
games,Q10,Q10,Q10,Q10
games,Q10,Q10,Q10,Q10
expandable,Storage,Storage,,
operating ,great,great,,
operating ,system,system,system,system
Price,higher,High,It's worth the price,It's not worth the price
Design,keypad,keypad,Good keypad design,Keypad design not good
Front ,hd,Front camera,Good front camera resolution,Front camera resoljution not good
Front ,camera,Front camera,Good front camera quality,No front camera
hardware,optimised,optimised,,
features,browsing,browsing,,
Price,higher,High,It's worth the price,It's not worth the price
surfing,3G,3G,Speed in 3G browsing is good,Speed in 3G browsing is not good
fast,speed,speed,speed,speed
applications,bb,,Apps run smoothly,Apps don't run smoothly and hangs
Display,brightness,Bright,Display brightness is perfect,Display brightness is not adequate
Display,sunlight,sunlight,Display brightness is perfect in sunlight,Display brightness is not adequate in sunlight
fast,speed,speed,speed,speed
Size,big,Big,Screen size is perfect,Screen size is big
responsive,Blackberry 10,Blackberry 10,,
Android,apps,Apps,Apps,Apps
heavy,charge,charge,,
software,upgrade,Upgrade,Upgrade,Upgrade
interface,fast,fast,UI is simple and smooth,UI is complicated and not smooth
applications,smooth,Easy,Apps run smoothly,Apps don't run smoothly and hangs
games,apps,apps,Pre installed gaming apps are cool,Pre installed games are not good
google,apps,apps,apps,apps
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
operating ,upgradeable,upgradeable,upgradeable,upgradeable
operating ,system,system,system,system
snapdeal,warranty,warranty,Perfect product delivered,Defective product delivered
Display,Quality,Clear,Suberb display clarity,Display quality not good
touch,sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
build,quality,Quality,Good body built quality,Body built not good
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
picture,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,gesture,,,
hardware,back cover,back cover,,
snapdeal,commendable,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
video,BB Z3,,BB Z3,BB Z3
videos,BB Z3,,BB Z3,BB Z3
video,formats,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
hardware,design,Design,Design,Design
software,BlackBerry OS 10 ,BlackBerry OS 11,BlackBerry OS 12,BlackBerry OS 13
video,app,,Music app is cool,Music app is not good
online,apps,,,
online,snapdeal,,,
snapdeal,delivery,Delivery,Quick Delivery,Delayed Delivery
build,quality,Quality,Good body built quality,Body built not good
cheap,price,Price,It's worth the price,It's not worth the price
features,miracast,miracast,miracast,miracast
picture,password,password,,
touch,unstable,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
build,quality,Quality,Good body built quality,Body built not good
heavy,emails,emails,,
features,blackberry,blackberry,,
internal,good,memory,memory,memory
internal,memory,memory,memory,memory
memory ,internal,Internal,Nice internal memory,Low internal memory space
sound,quality,Quality,Good sound quality,Poor sound quality
music,player,player,Music sound quality is awesome,Music sound quality is poor
heavy,battery,battery,,battery drains heavily
Screen,size,Size,Screen size is perfect,Screen size is not ok
Game,heating,heat,No heating issue while gaming,Phone gets heated while gaming
Apps,blackberry,blackberry,Apps run smoothly,Apps don't run smoothly and hangs
expandable,memory,memory,memory,memory
store,down,,Loads of app in app store,Limited apps in app store
Screen,big,big,Screen size is perfect,Screen size is big
memory ,Low,Less,,Low memory space
music,sound,Quality,Music sound quality is awesome,Music sound quality is poor
cheap,price,Price,It's worth the price,It's not worth the price
sound,quality,Quality,Good sound quality,Poor sound quality
charging,time,time,Quick charging,Charging issues
Android,KitKat,KitKat,KitKat,KitKat
video,calling,,Video calling is good enough,video calling not up to the mark
memory ,low,Less,,Low memory space
Ram,apps,,,
sound,quality,Quality,Good sound quality,Poor sound quality
cheap,price,Price,It's worth the price,It's not worth the price
fast,3g ,3g ,3g ,3g 
video,format,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
sound,quality,Quality,Good sound quality,Poor sound quality
hanging,internet,internet,Phone never hangs during browsing,Phone hangs during browsing
lagging,internet,internet,Phone never hangs during browsing,Phone hangs during browsing
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
